qd1,qd2,phrase1,phrase2,label
227,228,aint hell get another one cottonpicking,reckon cash darl get married eula say,1
229,230,poor boy cora say,poor little tyke,1
231,232,jewel,kate say,1
233,234,eula say,hmph kate say,1
235,236,reckon,reckon,1
237,238,reckon gal one around dont want see jewel tie,well need nt worry,1
239,240,kate,cora say,1
241,242,wagon begin rattle,poor little tyke cora say,1
243,244,fix rain night,yes sir,1
245,246,rattle wagon mighty dry weather birdsell,cure,1
247,248,fact,ought take cake say would kate say,1
249,250,fix rain,stand see secondsight ashutting behind like wall shut betwixt give promise,1
251,252,best much get mind anything durn boy,alaying right tip door every bad luck come go bound find,1
253,254,told addie want luck living road come say world like woman get move,told want luck lord put road travel laid flat earth,1
255,256,never aim folk live road get first say road house,ever know set road house,1
257,258,say,never say always men cant rest till get house set everybody pass wagon spit doorway keep folk restless want get go somewhere else aim stay put like tree stand corn,1
259,260,aim man always amoving go somewhere else would nt put longways belly like snake,stand reason would,1
261,262,put every bad luck prowl find come straight door charge tax top,make pay cash get carpenter notion nt road come would nt get fall church lift hand six month addie slave aslaving plenty saw place could get saw,1
263,264,darl,talk durn aint afraid work always fed mine kept roof u would shorthand tends business get eye full land time,1
265,266,say right first eye full land land laid upanddown way nt till ere road come switch land around longways eye still full land begin threaten try shorthand law,make pay,1
267,268,well hale ere woman ever except road,lay rest bed ask naught none,1
269,270,sick addie,say,1
271,272,sick say,lay rest say,1
273,274,know sick,tire,1
275,276,lay rest,sick say,1
277,278,get,lay still rest say,1
279,280,tire,get tomorrow,1
281,282,lay well hale ere woman ever except road,never sent say,1
283,284,take witness never sent,know nt peabody say,1
285,286,bound,alaying say,1
287,288,go set porch,get pay without tooth head hop get ahead enough could get mouth fix could eat god victual man hale well ere woman land day,1
289,290,get pay put need three dollar,get pay way boy go away earn,1
291,292,see second sight rain shut betwixt u acoming road like durn man like want ere house rain living land,nave heard men cuss luck right sinful men,1
293,294,say curse wrong cuss,religious reckon,1
295,296,peace heart know,thing neither well bad pretend otherlike know old marster care ere sparrow fall,1
297,298,seem hard man need could flout road,vardaman come around house bloody hog knee ere fish chopped axe like maybe throwed away lie dog et,1
299,300,well reckon aint call expect mangrowed brother,whew say pure tire,1
301,302,go wash hand say,full blood gut hog say,1
303,304,go wash hand say,cant seem get heart,1
305,306,look back,jewel say,1
307,308,back run tunnel two set bobbing mule ear road vanishes beneath wagon though ribbon front axle spool,know go die jewel,1
309,310,take two people make one people die,world go end,1
311,312,say dewey dell want die get town,would nt say knew,1
313,314,reason say say even know true,know true,1
315,316,almost tell day knew true,wont say even,1
317,318,say,keep say go tell pa,1
319,320,go kill,believe true believe dewey dell dewey dell bundren could bad luck,1
321,322,sun hour horizon poise like bloody egg upon crest thunderhead light turn copper eye portentous nose sulphurous smell lightning,peabody come use rope,1
323,324,pusselgutted eat cold green,rope haul path balloonlike sulphurous air,1
325,326,jewel say know addie bundren go die,addie bundren go die,1
327,328,say damn good thing first would go might something could would haul back god,thought maybe sort fool ethic heaven medical college maybe vernon lull send get nick time vernom always thing get anse money like,1
329,330,get far enough day read weather sign knew could nt anybody anse sent,knew nobody luckless man could ever need doctor face cyclone,1
331,332,knew finally occur anse need one already late,reach spring get hitch team sun go behind bank black cloud like topheavy mountain range like load cinder dumped wind,1
333,334,could hear cash saw mile get,anse stand top bluff path,1
335,336,horse,say,1
337,338,jewel take go say,cant nobody else ketch hit,1
339,340,walk reckon,walk weigh two hundred twentyfive pound,1
341,342,say,walk durn wall,1
343,344,stand beside tree,bad lord make mistake give tree root give anse bundrens make foot leg,1
345,346,swap would nt ever worry country deforest someday,country,1
347,348,aim,say,1
349,350,stay get blow clean county cloud break,even horse would take fifteen minute ride across pasture top ridge reach house,1
351,352,path look like crooked limb blown bluff,anse town twelve year,1
353,354,mother ever get bear mother son,vardaman gittin rope say,1
355,356,vardaman appear plowline,give end anse come path uncoil,1
357,358,hold tight say,already write visit onto book go charge whether get,1
359,360,get hit anse say,kin come,1
361,362,damn see dont quit,man seventy year old weigh two hundred odd pound haul damn mountain rope,1
363,364,reckon must reach fifty thousand dollar mark dead account book quit,hell wife mean say take sick top durn mountain,1
365,366,right sorry say,let rope go drop turn toward house,1
367,368,little daylight still color sulphur match,board look like strip sulphur,1
369,370,cash look back,vernon tull say brings board window see say right,1
371,372,boy overtakes u,anse look back,1
373,374,rope,say,1
375,376,left say,never mind rope,1
377,378,get get back bluff,dont aim storm catch,1
379,380,td blow durn far get start,girl stand bed fan,1
381,382,enter turn head look u,dead ten day,1
383,384,suppose part anse long even make change change,remember young believe death phenomenon body know merely function mind mind one suffer bereavement,1
385,386,nihilist say end fundamentalist begin reality single tenant family move tenement town,look u,1
387,388,eye seem move,like touch u sight sense like stream hose touch stream instant impact dissociate nozzle though never,1
389,390,look anse,look boy,1
391,392,girl stop fan,sister,1
393,394,say,head lie gaunt pillow look boy,1
395,396,picked fine time get bring storm,send anse boy,1
397,398,watch boy leaf room,move save eye,1
399,400,anse porch come boy sit step anse stand post even lean arm dangle hair push mat head like dipped rooster,turn head bunking,1
401,402,nt send sooner,say,1
403,404,hit jest one thing another say,ere corn boy aimin git dewey dell atakin good keer folk comin aofferin help sich till jest thought,1
405,406,damn money say,ever hear worry fellow ready pay,1
407,408,hit aint begrudgin money say,jest kept athinkin,1
409,410,goin,durn little tyke sit top step look small ever sulphurcolored light,1
411,412,one trouble country everything weather hang long,like river land opaque slow violent shape create man implacable brooding image,1
413,414,know hit anse say,make sho,1
415,416,mind sot hit,damn good thing say,1
417,418,trifle sits top step small motionless fade overall,come look anse,1
419,420,stop look u,sits,1
421,422,told yit,anse say,1
423,424,say,devil,1
425,426,shell know hit,know see would know hit write,1
427,428,would nt need tell,look face,1
429,430,well go quick say,enter room watch door,1
431,432,look,eye look like lamp blaring oil go,1
433,434,want go girl say,addie anse say come way jefferson git well,1
435,436,watch feel eye,like shove,1
437,438,see woman,see drive room come sympathy pity actual help cling trifle animal never packhorses,1
439,440,mean love passeth understand pride furious desire hide abject nakedness bring u carry u operating room carry stubbornly furiously u earth,leave room,1
441,442,beyond porch cash saw snore steadily board,minute later call name voice harsh strong,1
443,444,behind leg vardaman peer round head eye round mouth begin open,look pa fail life appear drain eye urgent irremediable,1
445,446,jewel want dewey dell say,addle pa say darl go make one load,1
447,448,thought time,would wait three dollar stoop lay hand,1
449,450,yet look without reproach without anything eye alone listen irrevocable cessation voice,dewey dell lean try press back,1
451,452,say,look window cash stoop steadily board fail light labor toward darkness though stroke saw illumine motion board saw engender,1
453,454,cash shout voice harsh strong unimpaired,cash,1
455,456,look gaunt face frame window twilight,composite picture time since child,1
457,458,drop saw lift board see watch window face move,drag second plank position slant two final juxtaposition gesture toward one yet ground shape empty hand pantomime finish box,1
459,460,still look composite picture neither censure approbation,face disappears,1
461,462,lie back turn head without much glance pa,look vardaman eye life rush suddenly upon two flame glare steady instant,1
463,464,go though someone lean blown upon,dewey dell say,1
465,466,lean bed hand lift little fan still move like ten day begin keen,voice strong young tremulous clear rapt timbre volume fan still move steadily whisper useless air,1
467,468,begin move slowly backward bed eye round pale face fading dusk like piece paper paste fail wall door,pa lean bed twilight humped silhouette partake owllike quality awryfeathered disgruntle outrage within lurks wisdom profound inert even thought,1
469,470,durn boy say,jewel say,1
471,472,overhead day drive level gray hiding sun flight gray spear,rain mule smoke little splash yellow mud one cling slide lunge side road ditch,1
473,474,tilt lumber gleam dull yellow watersoaked heavy lead tilt steep angle ditch broken wheel shatter spoke jewel ankle runnel yellow neither water earth swirl curve yellow road neither earth water hill dissolve stream mass dark green neither earth sky,jewel say cash come door carry saw,1
475,476,pa stand beside bed humped arm dangle,turn head shabby profile chin collapse slowly work snuff gum,1
477,478,go cash say,take left u pa say,1
479,480,cash look,nigh,1
481,482,pa say,cash answer,1
483,484,enters carry saw,reckon well get pa say,1
485,486,best boy go thataway,cash look face,1
487,488,listen pa,approach bed,1
489,490,stop middle floor saw leg sweat arm powder lightly sawdust face compose,get tight maybe themll get tomorrow help pa says,1
491,492,vernon could,cash listen,1
493,494,look peaceful rigid face fading dusk though darkness precursor ultimate earth last face seem float detach upon lightly reflection dead leaf,christian enough help pa say,1
495,496,cash listen,turn without look pa leaf room,1
497,498,saw begin snore,help u sorrow pa say,1
499,500,sound saw steady competent unhurried stir die light stroke face seem wake little expression listen wait though counting stroke,pa look face black sprawl dewey dell hair outflung arm clutched fan motionless fading quilt,1
501,502,reckon well get supper say,dewey dell move,1
503,504,git put supper pa say,get keep strength,1
505,506,reckon doctor peabody right hungry come way,need eat quick get back work finish time,1
507,508,dewey dell rise heave foot,look face,1
509,510,like cast fading bronze upon pillow hand alone still semblance life curl gnarl ineptness spent yet alert quality weariness exhaustion travail yet depart though doubt even yet actuality rest guard horn penurious alertness cessation know last,dewey dell stoop slide quilt beneath draw chin smooth draw smooth,1
511,512,without look pa go around bed leaf room,go peabody stand twilight look back expression feel eye turn say would let grieve,1
513,514,old sick,suffer knew,1
515,516,could nt get well,vardaman get big take good care,1
517,518,would try let grieve,expect well go get supper ready,1
519,520,dont much,need eat look say could much would,1
521,522,knew,raise hand head scour hair listen saw,1
523,524,come nearer rub hand palm back thigh lay face hump quilt hand,touch quilt saw dewey dell try smoothe chin disarrange instead,1
525,526,try smoothe clumsily hand awkward claw smooth wrinkle make continue emerge beneath hand perverse ubiquity last desists hand fall side stroke palm back thigh,sound saw snore steadily room,1
527,528,pa breathes quiet rasp sound mouth snuff gum,god say,1
529,530,get teeth,jewel hat droop limp neck channel water onto soak towsack tie shoulder ankledeep run ditch pry slip twobyfour piece rot log fulcrum axle,1
531,532,jewel say dead jewel,run toward back come edge porch stop,1
533,534,begin cry,feel fish dust,1
535,536,cut piece notfish notblood hand overall,nt,1
537,538,nt happen,get far ahead catch,1
539,540,tree look like chicken ruffle cool dust hot day,jump porch fish cut notfish,1
541,542,hear bed face feel floor shake walk come,come right come,1
543,544,fat son bitch,jump porch run,1
545,546,top barn come swoop twilight,jump go like pink lady circus warm smell without wait hand grab bush beneath foot rock dirt go rubbling,1
547,548,breathe warm smell,enter stall try touch cry vomit cry,1
549,550,soon get kick cry cry,kilt,1
551,552,kilt,run skin hand run splotch smell nose sickness begin cry vomit cry breathe vomit,1
553,554,make lot noise,smell life run hand arm cart leave stall,1
555,556,find,dark along dust wall find,1
557,558,cry make lot noise,wish would nt make much noise,1
559,560,find wagon shed dust run across lot road stick jouncing shoulder,watch run begin jerk back eye roll snort jerking back hitchrein,1
561,562,strike,hear stick strike see hit head breastyoke miss altogether sometimes rear plunge glad,1
563,564,still long enough,run way rear jerk hitchrein strike,1
565,566,kilt,strike strike wheel long lunge buggy wheel onto two wheel motionless like nail ground horse motionless like nail hind foot center whirl plate,1
567,568,run dust see run suck dust buggy vanishes tilt two wheel,strike stick hit ground bounce strike dust air dust suck road faster car,1
569,570,cry look stick,broken hand longer stove wood long stick,1
571,572,throw away cry,make much noise,1
573,574,cow stand barn door chew,see come lot low mouth full flop green tongue flop,1
575,576,aint agoin milk,aint agoin nothing,1
577,578,hear turn pas,turn behind sweet hot hard breath,1
579,580,nt tell would nt,nudge snuff,1
581,582,moan deep inside mouth close,jerk hand curse like jewel,1
583,584,git,stoop hand ground run,1
585,586,jump back whirl away stop watch,moan,1
587,588,go,path stand look path,1
589,590,dark barn warm smell silent,cry quietly watch top hill,1
591,592,cash come hill limp fell church,look spring road back toward barn,1
593,594,come path stiffly look broken hitchrein dust road road dust go,hope get clean past tull,1
595,596,hope hit,cash turn limp path,1
597,598,durn,show,1
599,600,durn,cry,1
601,602,anything,dewey dell come hill call,1
603,604,vardaman,anything,1
605,606,quiet,vardaman,1
607,608,cry quiet feel hearing tear,hit want,1
609,610,hit nt happen,hit alayin right ground,1
611,612,gittin ready cook hit,dark,1
613,614,hear wood silence know,living sound even,1
615,616,though dark resolve integrity unrelated scatter component snuffings stampings smell cool flesh ammoniac hair illusion coordinated whole splotch hide strong bone within detach secret familiar different,see dissolve leg roll eye gaudy splotch like cold flame float upon dark fading solution one yet neither either yet none,1
617,618,see hearing coil toward caress shape hard shape fetlock hip shoulder head smell sound,afraid,1
619,620,cooked et,could everything,1
621,622,like everything world inside tub full gut wonder room anything else important,big tub gut little tub gut room anything else important big tub gut room little tub gut,1
623,624,know god give woman sign something happen bad,alone,1
625,626,could feel would different would alone,alone everybody would know,1
627,628,could much would alone,could right alone,1
629,630,would let come lafe like darl come lafe lafe alone,lafe dewey dell mother die go beyond outside lafe darl grieve could much dont know,1
631,632,dont even know,back porch see barn,1
633,634,sound cash saw come way,like dog outside house go back forth around house whatever door come wait come,1
635,636,say worry say dont know worry cant worry,try cant think long enough worry,1
637,638,light kitchen lamp,fish cut jagged piece bleeds quietly pan,1
639,640,put cupboard quick listen hall hearing,take ten day die maybe dont know yet,1
641,642,maybe wont go cash,maybe jewel,1
643,644,take dish green cupboard bread pan cold stove stop watch door,vardaman,1
645,646,cash say,lamp sawdusted arm look like sand,1
647,648,dont know,aint see,1
649,650,peabody team run away,see find vardaman,1
651,652,horse let catch,well,1
653,654,tell come supper,see barn,1
655,656,say dont know worry,dont know cry,1
657,658,try cant,sound saw come around come dark along ground dustdark,1
659,660,see go plank,come supper say,1
661,662,tell,could everything,1
663,664,dont know,gut gut,1
665,666,lafe gut,dont see nt stay town,1
667,668,country people good town people,dont see nt,1
669,670,see top barn,cow stand foot path low,1
671,672,turn back cash go,carry buttermilk,1
673,674,pa cash table,big fish bud caught sister,1
675,676,say,set milk table,1
677,678,never time cook,plain turnip green mighty spindling eat man size say,1
679,680,cash eat,head print hat sweat hair,1
681,682,shirt blotch sweat,wash hand arm,1
683,684,ought take time pa say,vardaman,1
685,686,go toward door,cant find,1
687,688,sister say never mind fish,save reckon,1
689,690,come sit,aint mind say,1
691,692,go milk set rain,pa help push dish,1
693,694,begin eat,hand halfclosed either side plate head bow little awry hair stand lamplight,1
695,696,look like right maul hit steer longer alive dont yet know dead,cash eat,1
697,698,well eat something say,look pa,1
699,700,like cash,need,1
701,702,ay pa say,cow low foot bluff,1
703,704,nuzzles snuff blowing breath sweet hot blast dress hot nakedness moan,get wait little,1
705,706,tend,follow barn set bucket,1
707,708,breathes bucket moan,told,1
709,710,get wait,get tend,1
711,712,barn dark,pas kick wall single blow,1
713,714,go,broken plank like pale plank stand end,1
715,716,see slope feel air move face slow pale lesser dark empty see pine clump blotch tilt slope secret wait,cow silhouette door nuzzles silhouette bucket moan,1
717,718,pas stall,almost pass listen say long time say word listen part afraid may time say feel body bone flesh begin part open upon alone process come unalone terrible,1
719,720,lafe,lafe,1
721,722,lafe lafe,lafe,1
723,724,lean little forward one foot advanced dead walk,feel darkness rush past breast past cow begin rush upon darkness cow stop darkness rush upon sweet blast moan breath fill wood silence,1
725,726,vardaman,vardaman,1
727,728,come stall,aint nothing,1
729,730,durn little sneak,hand shake hard,1
731,732,maybe could nt stop,nt know could shake hard,1
733,734,shake u shake,never say,1
735,736,never touch,hand stop shake still hold,1
737,738,nt answer call,aint nothing,1
739,740,go house get supper,draw back,1
741,742,hold,quit,1
743,744,leave,nt come sneak,1
745,746,never,never,1
747,748,quit,nt even know,1
749,750,leave,hold lean see face feel eye,1
751,752,cry,go,1
753,754,put supper soon milk,well go eats everything,1
755,756,hope team run clean back jefferson,kilt say,1
757,758,begin cry,hush,1
759,760,never hurt come kilt,hush,1
761,762,struggle,hold,1
763,764,hush,kilt,1
765,766,cow come behind u moan,shake,1
767,768,stop,right minute,1
769,770,fix make sick cant go town,go house eat supper,1
771,772,dont want supper,dont want go town,1
773,774,well leave,lessen behave leave,1
775,776,go old greeneating tub gut eats everything,go disappear slowly hill,1
777,778,crest tree roof house stand sky,cow nuzzles moan,1
779,780,youll wait,get aint nothing get even woman,1
781,782,follow moan,dead hot pale air breathes face,1
783,784,could fix right would,dont even know,1
785,786,could everything know,cow breathes upon hip back breath warm sweet stertorous moan,1
787,788,sky lie flat slope upon secret dump,beyond hill sheetlightning stain upward fade,1
789,790,dead air shape dead earth dead darkness far away see shape dead earth,lie dead warm upon touch naked clothes,1
791,792,say dont know worry,dont know,1
793,794,dont know whether worry,whether,1
795,796,dont know whether cry,dont know whether try,1
797,798,feel like wet seed wild hot blind earth,saw dark stand go whirl away say go nail cash,1
799,800,cash,cash get shut crib new door heavy go shut could nt breathe rat breathing air,1
801,802,say go nail shut cash,nail,1
803,804,nail,pa walk around,1
805,806,shadow walk around cash go saw bleeding plank,dewey dell say get banana,1
807,808,train behind glass red track,run track shine,1
809,810,pa say flour sugar coffee cost much,country boy boy town,1
811,812,bicycle,flour sugar coffee cost much country boy,1
813,814,would nt ruther bananasinstead,banana go eat,1
815,816,go,run track shine,1
817,818,aint town boy pa,say,1
819,820,god make,say god make country,1
821,822,make train cant make town flour sugar coffee,would nt ruther banana,1
823,824,walk around,shadow walk around,1
825,826,look,saw,1
827,828,thought,mother,1
829,830,go away one laid bed drew quilt,go away,1
831,832,go far town,go far town,1
833,834,rabbit possum go far town,god make rabbit possum,1
835,836,make train,must make different place go like rabbit,1
837,838,pa walk around,shadow,1
839,840,saw sound like asleep,cash nail box rabbit,1
841,842,rabbit could nt breathe crib cash go nail,let,1
843,844,know,saw,1
845,846,saw,think cash go nail,1
847,848,lay right yonder dirt chopped,chopped,1
849,850,lay kitchen bleeding pan wait cooked et,nt nt,1
851,852,tomorrow cooked et pa cash dewey dell wont anything box breathe,lay right yonder ground,1
853,854,get vernon,see u,1
855,856,misdoubtful night storm make night fellow look anything happen get stock fed house supper et bed rain start peabody team come lather broke harness drag neckyoke betwixt critter leg cora say addie bundren,go last,1
857,858,peabody mought ere one dozen house hereabouts say,besides know peabody team,1
859,860,well aint,say,1
861,862,hitch,say,1
863,864,go cant nothing till morning,fix storm,1
865,866,duty say,put team,1
867,868,would nt,stand reason send u need u,1
869,870,dont even know go yet,dont know peabody team,1
871,872,claim aint,well,1
873,874,would nt go,folk want fellow best wait till sends found,1
875,876,christian duty cora say,stand christian duty,1
877,878,stay allday tomorrow want say,cora wake set rain,1
879,880,even go door lamp shin glass could see come kept knock,loud steady like might go sleep thump never notice low door knock till open never see nothing,1
881,882,held lamp rain sparkle across cora back hall say vernon,could nt see nobody atall first look around door lower lamp,1
883,884,look like drownded puppy overall without hat splash knee walk four mile mud,vernon,1
885,886,cora say,look eye round black middle like throw light owl face,1
887,888,mind ere fish say,come house say,1
889,890,stood kind around behind door dark,rain blowing onto lamp hiss scar every minute break,1
891,892,say,see,1
893,894,cora come door,come right outen rain say pull watch,1
895,896,look like drownded puppy,told cora say,1
897,898,told ahappening,go hitch,1
899,900,aint say say,look drip onto floor,1
901,902,aruining rug cora say,go get team take kitchen,1
903,904,hung back drip watch eye,see lay,1
905,906,cash fix nail alaying right ground,see,1
907,908,see mark dirt,rain never come till acoming,1
909,910,get back time,durn nt give creep even nt know yet,1
911,912,cora,get team quick say,1
913,914,outen head grief worry,durn nt give creep,1
915,916,fellow get think,sorrow affliction world liable strike anywhere like lightning,1
917,918,reckon take powerful trust lord guard fellow though sometimes think cora mite overcautious like try crowd folk away get closer anybody else,fellow get think often though,1
919,920,good thing,lord aim spend much time think brain like piece machinery wont stand whole lot rack,1
921,922,best run along day work one part use needful,say say ever living thing matter darl think much,1
923,924,cora right say need wife straighten,think think nothing married help man durn nigh hopeless,1
925,926,dress top nightgownd shawl head umbrella bible wrap oilcloth sit upturned bucket stovezinc put drip onto floor,cant get nothing outen except fish say,1
927,928,judgment,see hand lord upon boy anse bundrens judgment warn,1
929,930,rain never come till left say,left,1
931,932,way,dust see cash fix nail see,1
933,934,get rain hard sit seat u wrap cora shawl,nt say nothing else sit cora hold umbrella,1
935,936,cora would stop sing long enough say judgment anse bundren,may show path sin atrodding,1
937,938,would sing sit u lean forward little like mule could nt go fast enough suit,lay right yonder say rain come take left,1
939,940,twice dead sleep cora say face look like one christmas mast bury dug last put nail could nt open window,next morning found shirt tail lay asleep floor like fell steer top box bore clean full hole cash new auger broke last one,1
941,942,take lid found two bore face,judgment aint right,1
943,944,lord get,bound,1
945,946,die burden anse bundren ever,folk talk low think aint less man could nt bore long,1
947,948,aint right,durn,1
949,950,say suffer little child come unto dont make right neither,cora say bore lord god sent,1
951,952,face without fear terror faith strong lord abolstering sustain,son lord decreed otherwise wisdom,1
953,954,life ever open book ere man woman among creature trust god reward,reckon right,1
955,956,reckon ere man woman anywhere could turn go away mind rest would cora,reckon would make change matter run reckon would man good,1
957,958,leastways would like,leastways might well go make like,1
959,960,rust greasefouled crack chimney smear one side soar smudge soot shed feeble sultry glare upon trestle board adjacent earth,upon dark ground chip look like random smear soft pale paint black canvas,1
961,962,board look like long smooth tatter torn flat darkness turn backside,cash labor trestle move back forth lift place plank long clatter reverberation dead air though lift drop bottom invisible well sound cease without depart movement might dislodge immediate air reverberant repetition,1
963,964,saw elbow flash slowly thin thread fire run along edge saw lose recover top bottom stroke unbroken elongation saw appear six foot long pa shabby aimless silhouette,give plank cash say,1
965,966,one,put saw come pick plank want sweep pa away long swing gleam balance board,1
967,968,air smell like sulphur,upon impalpable plane shadow form upon wall though like sound go far away fall merely congeal moment immediate muse,1
